L,alfa,n,m,Estimator,MSE,Bias,mean_sesgo,min_mean_sesgo
2,-1.5,9,4,AHE,0.537134025,-0.103879923,0.230517965,0.230517965
2,-3,9,4,AHE,0.299153602,-0.213861264,0.230517965,0.230517965
2,-5,9,4,AHE,0.273518982,-0.293265769,0.230517965,0.230517965
2,-8,9,4,AHE,0.254120036,-0.311064904,0.230517965,0.230517965
2,-1.5,25,8,AHE,0.22338024,0.161116595,0.07225654,0.07225654
2,-3,25,8,AHE,0.092736568,-0.006130083,0.07225654,0.07225654
2,-5,25,8,AHE,0.064000095,-0.049952155,0.07225654,0.07225654
2,-8,25,8,AHE,0.055540008,-0.071827325,0.07225654,0.07225654
2,-1.5,49,8,AHE,0.081322865,0.080995377,0.043628399,0.043628399
2,-3,49,8,AHE,0.041866601,-0.003994975,0.043628399,0.043628399
2,-5,49,8,AHE,0.030010423,-0.04004514,0.043628399,0.043628399
2,-8,49,8,AHE,0.026581282,-0.049478105,0.043628399,0.043628399
2,-1.5,81,9,AHE,0.04483432,0.065780124,0.028237525,0.028237525
2,-3,81,9,AHE,0.021387213,0.003793599,0.028237525,0.028237525
2,-5,81,9,AHE,0.017095231,-0.017407925,0.028237525,0.028237525
2,-8,81,9,AHE,0.0141015,-0.025968451,0.028237525,0.028237525
2,-1.5,121,10,AHE,0.028459727,0.051088225,0.022093175,0.022093175
2,-3,121,10,AHE,0.01584409,-0.001179895,0.022093175,0.022093175
2,-5,121,10,AHE,0.011212018,-0.015426321,0.022093175,0.022093175
2,-8,121,10,AHE,0.009530128,-0.020678259,0.022093175,0.022093175
2,-1.5,9,4,HC,0.590015753,-0.090473782,0.247472235,0.247472235
2,-3,9,4,HC,0.328087235,-0.229086945,0.247472235,0.247472235
2,-5,9,4,HC,0.308731952,-0.323715246,0.247472235,0.247472235
2,-8,9,4,HC,0.288261224,-0.346612966,0.247472235,0.247472235
2,-1.5,25,4,HC,0.135347629,-0.000182296,0.070307207,0.070307207
2,-3,25,4,HC,0.079834467,-0.081483761,0.070307207,0.070307207
2,-5,25,4,HC,0.061579507,-0.095783552,0.070307207,0.070307207
2,-8,25,4,HC,0.054727167,-0.103779218,0.070307207,0.070307207
2,-1.5,49,4,HC,0.058770641,0.007623899,0.035408231,0.035408231
2,-3,49,4,HC,0.037587409,-0.030462469,0.035408231,0.035408231
2,-5,49,4,HC,0.028131033,-0.051241307,0.035408231,0.035408231
2,-8,49,4,HC,0.02526713,-0.052305248,0.035408231,0.035408231
2,-1.5,81,4,HC,0.032297478,0.010822813,0.017300103,0.017300103
2,-3,81,4,HC,0.01904984,-0.012534744,0.017300103,0.017300103
2,-5,81,4,HC,0.015800788,-0.021906734,0.017300103,0.017300103
2,-8,81,4,HC,0.013321808,-0.023936123,0.017300103,0.017300103
2,-1.5,121,5,HC,0.022208444,0.01895721,0.012843332,0.012843332
2,-3,121,5,HC,0.014216987,-0.006824101,0.012843332,0.012843332
2,-5,121,5,HC,0.010624427,-0.012247222,0.012843332,0.012843332
2,-8,121,5,HC,0.008881788,-0.013344793,0.012843332,0.012843332
2,-1.5,9,4,HE,18.64769964,0.687071409,0.30537092,0.30537092
2,-3,9,4,HE,1.240634571,-0.045328707,0.30537092,0.30537092
2,-5,9,4,HE,0.216893293,-0.22074514,0.30537092,0.30537092
2,-8,9,4,HE,0.163453391,-0.268338424,0.30537092,0.30537092
2,-1.5,25,12,HE,10.31680283,1.110280144,0.381322127,0.381322127
2,-3,25,12,HE,0.415876159,0.063207961,0.381322127,0.381322127
2,-5,25,12,HE,0.156247192,-0.139840047,0.381322127,0.381322127
2,-8,25,12,HE,0.109750277,-0.211960355,0.381322127,0.381322127
2,-1.5,49,24,HE,77.06847221,2.116017456,0.662669348,0.662669348
2,-3,49,24,HE,4.517414459,0.342869075,0.662669348,0.662669348
2,-5,49,24,HE,0.163405096,-0.040656278,0.662669348,0.662669348
2,-8,49,24,HE,0.081743481,-0.151134584,0.662669348,0.662669348
2,-1.5,81,2,HE,31.15974834,2.188082788,0.69740331,0.69740331
2,-3,81,2,HE,0.53908052,0.192688098,0.69740331,0.69740331
2,-5,81,2,HE,0.121304102,-0.146641135,0.69740331,0.69740331
2,-8,81,2,HE,0.111668506,-0.26220122,0.69740331,0.69740331
2,-1.5,121,2,HE,40.82972796,2.232280188,0.734897419,0.734897419
2,-3,121,2,HE,0.551432491,0.071429129,0.734897419,0.734897419
2,-5,121,2,HE,0.134602845,-0.265837337,0.734897419,0.734897419
2,-8,121,2,HE,0.167956371,-0.370043022,0.734897419,0.734897419
2,-1.5,25,2,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,2,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,2,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,2,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,3,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,3,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,3,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,3,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,4,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,4,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,4,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,4,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,5,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,5,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,5,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,5,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,6,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,6,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,6,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,6,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,7,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,7,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,7,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,7,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,8,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,8,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,8,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,8,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,9,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,9,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,9,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,9,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,10,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,10,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,10,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,10,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,11,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,11,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,11,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,11,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,25,12,HMV.mle,0.095349198,-0.031364103,0.032615497,0.032615497
2,-3,25,12,HMV.mle,0.055303958,-0.048041647,0.032615497,0.032615497
2,-5,25,12,HMV.mle,0.03903753,-0.029648532,0.032615497,0.032615497
2,-8,25,12,HMV.mle,0.030946887,-0.021407704,0.032615497,0.032615497
2,-1.5,81,2,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,2,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,2,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,2,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,3,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,3,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,3,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,3,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,4,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,4,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,4,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,4,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,5,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,5,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,5,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,5,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,6,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,6,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,6,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,6,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,7,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,7,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,7,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,7,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,8,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,8,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,8,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,8,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,9,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,9,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,9,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,9,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,10,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,10,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,10,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,10,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,11,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,11,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,11,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,11,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,12,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,12,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,12,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,12,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,13,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
2,-3,81,13,HMV.mle,0.016285645,-0.007911736,0.007888768,0.007888768
2,-5,81,13,HMV.mle,0.013007029,-0.009667168,0.007888768,0.007888768
2,-8,81,13,HMV.mle,0.010619356,-0.007651274,0.007888768,0.007888768
2,-1.5,81,14,HMV.mle,0.028062711,-0.006324894,0.007888768,0.007888768
